..\..\..\..\datasets\PositiveSamples\wenda\head\original\000_0h.jpg 1 0 0 119 139
..\..\..\..\datasets\PositiveSamples\wenda\head\original\004_2h.jpg 1 0 0 290 378
..\..\..\..\datasets\PositiveSamples\wenda\head\original\005_1h.jpg 1 0 0 129 137
..\..\..\..\datasets\PositiveSamples\wenda\head\original\007_2h.jpg 1 0 0 107 130
..\..\..\..\datasets\PositiveSamples\wenda\head\original\011_1h.jpg 1 0 0 74 76
..\..\..\..\datasets\PositiveSamples\wenda\head\original\014_1h.jpg 1 0 0 96 84
..\..\..\..\datasets\PositiveSamples\wenda\head\original\016_2h.jpg 1 0 0 96 106
..\..\..\..\datasets\PositiveSamples\wenda\head\original\017_0h.jpg 1 0 0 83 83
..\..\..\..\datasets\PositiveSamples\wenda\head\original\017_5h.jpg 1 0 0 82 94
..\..\..\..\datasets\PositiveSamples\wenda\head\original\018_2h.jpg 1 0 0 130 147
..\..\..\..\datasets\PositiveSamples\wenda\head\original\018_4h.jpg 1 0 0 135 146
..\..\..\..\datasets\PositiveSamples\wenda\head\original\020_1h.jpg 1 0 0 71 85
..\..\..\..\datasets\PositiveSamples\wenda\head\original\021_1h.jpg 1 0 0 44 46
..\..\..\..\datasets\PositiveSamples\wenda\head\original\022_1h.jpg 1 0 0 50 91
..\..\..\..\datasets\PositiveSamples\wenda\head\original\025_0h.jpg 1 0 0 103 120
..\..\..\..\datasets\PositiveSamples\wenda\head\original\026_2h.jpg 1 0 0 32 38
..\..\..\..\datasets\PositiveSamples\wenda\head\original\029_1h.jpg 1 0 0 131 141
..\..\..\..\datasets\PositiveSamples\wenda\head\original\031_1.jpg 1 0 0 95 125
..\..\..\..\datasets\PositiveSamples\wenda\head\original\033_1h.jpg 1 0 0 147 189
..\..\..\..\datasets\PositiveSamples\wenda\head\original\038_2h.jpg 1 0 0 125 164
..\..\..\..\datasets\PositiveSamples\wenda\head\original\049_0h.jpg 1 0 0 116 158
..\..\..\..\datasets\PositiveSamples\wenda\head\original\057_1.jpg 1 0 0 31 41
..\..\..\..\datasets\PositiveSamples\wenda\head\original\058_2.jpg 1 0 0 116 137
..\..\..\..\datasets\PositiveSamples\wenda\head\original\061_1h.jpg 1 0 0 127 147
..\..\..\..\datasets\PositiveSamples\wenda\head\original\062_1.jpg 1 0 0 54 80
..\..\..\..\datasets\PositiveSamples\wenda\head\original\063_0h.jpg 1 0 0 136 112
..\..\..\..\datasets\PositiveSamples\wenda\head\original\065_0h.jpg 1 0 0 101 142
..\..\..\..\datasets\PositiveSamples\wenda\head\original\067_1h.jpg 1 0 0 141 189
..\..\..\..\datasets\PositiveSamples\wenda\head\original\068_2h.jpg 1 0 0 132 132
..\..\..\..\datasets\PositiveSamples\wenda\head\original\069_0h.jpg 1 0 0 155 189
..\..\..\..\datasets\PositiveSamples\wenda\head\original\072_0.jpg 1 0 0 24 27
..\..\..\..\datasets\PositiveSamples\wenda\head\original\074_0h.jpg 1 0 0 138 140
..\..\..\..\datasets\PositiveSamples\wenda\head\original\075_1h.jpg 1 0 0 124 126
..\..\..\..\datasets\PositiveSamples\wenda\head\original\077_1h.jpg 1 0 0 75 113
..\..\..\..\datasets\PositiveSamples\wenda\head\original\078_1h.jpg 1 0 0 103 152
..\..\..\..\datasets\PositiveSamples\wenda\head\original\079_1.jpg 1 0 0 124 139
..\..\..\..\datasets\PositiveSamples\wenda\head\brightness\026_2h_brightness_1.jpg 1 0 0 32 38
..\..\..\..\datasets\PositiveSamples\wenda\head\brightness\031_1_brightness_6.jpg 1 0 0 95 125
..\..\..\..\datasets\PositiveSamples\wenda\head\contrast\063_0h_contrast_0.jpg 1 0 0 136 112
..\..\..\..\datasets\PositiveSamples\wenda\head\gaussblur\018_2h_gblur_0.jpg 1 0 0 130 147
..\..\..\..\datasets\PositiveSamples\wenda\head\contrast\072_0_contrast_0.jpg 1 0 0 24 27
..\..\..\..\datasets\PositiveSamples\wenda\head\brightness\068_2h_brightness_0.jpg 1 0 0 132 132
..\..\..\..\datasets\PositiveSamples\wenda\head\brightness\069_0h_brightness_3.jpg 1 0 0 155 189
..\..\..\..\datasets\PositiveSamples\wenda\head\brightness\078_1h_brightness_1.jpg 1 0 0 103 152
..\..\..\..\datasets\PositiveSamples\wenda\head\contrast\018_4h_contrast_1.jpg 1 0 0 135 146
..\..\..\..\datasets\PositiveSamples\wenda\head\contrast\067_1h_contrast_5.jpg 1 0 0 141 189
..\..\..\..\datasets\PositiveSamples\wenda\head\contrast\007_2h_contrast_1.jpg 1 0 0 107 130
..\..\..\..\datasets\PositiveSamples\wenda\head\brightness\018_4h_brightness_7.jpg 1 0 0 135 146
..\..\..\..\datasets\PositiveSamples\wenda\head\brightness\063_0h_brightness_3.jpg 1 0 0 136 112
..\..\..\..\datasets\PositiveSamples\wenda\head\contrast\017_0h_contrast_3.jpg 1 0 0 83 83
..\..\..\..\datasets\PositiveSamples\wenda\head\contrast\074_0h_contrast_5.jpg 1 0 0 138 140
..\..\..\..\datasets\PositiveSamples\wenda\head\gaussnoise\063_0h_gnoise_0.jpg 1 0 0 136 112
..\..\..\..\datasets\PositiveSamples\wenda\head\gaussblur\038_2h_gblur_4.jpg 1 0 0 125 164
..\..\..\..\datasets\PositiveSamples\wenda\head\contrast\018_2h_contrast_3.jpg 1 0 0 130 147
..\..\..\..\datasets\PositiveSamples\wenda\head\contrast\017_0h_contrast_5.jpg 1 0 0 83 83
..\..\..\..\datasets\PositiveSamples\wenda\head\gaussnoise\061_1h_gnoise_0.jpg 1 0 0 127 147
..\..\..\..\datasets\PositiveSamples\wenda\head\contrast\025_0h_contrast_4.jpg 1 0 0 103 120
..\..\..\..\datasets\PositiveSamples\wenda\head\brightness\065_0h_brightness_3.jpg 1 0 0 101 142
..\..\..\..\datasets\PositiveSamples\wenda\head\brightness\078_1h_brightness_6.jpg 1 0 0 103 152
..\..\..\..\datasets\PositiveSamples\wenda\head\gaussnoise\011_1h_gnoise_0.jpg 1 0 0 74 76
