056,0.8055641835886418,1102,163,1124,185,0.3982642698792623
056,0.8197283967134914,712,159,734,181,0.4417275724188642
056,0.4087598389702741,450,14,474,38,0.28679886100334595
056,0.9612193616351192,421,77,492,148,0.19812922125048524
056,0.4215011733247608,415,134,461,180,0.5660258823707326
056,0.9031012560088832,436,123,505,192,0.05038611410196728
056,0.6073762807944151,1032,252,1084,304,0.29163969664990663
056,0.7960731406617448,670,252,776,358,0.03318674531805978
056,0.8021208727347947,1379,291,1517,429,0.030942164632924103
056,0.6163229873524411,1407,398,1437,428,1.0
056,0.6477169690226844,335,478,379,522,0.18343768952425818
056,0.7988559201120512,343,368,387,412,0.27901245012538295
056,0.4215011733247608,117,375,176,434,0.137794398806048
056,0.4087598389702741,236,352,334,450,0.0
056,0.7960731406617448,450,525,498,573,0.2986809575298741
056,0.6431071092429778,1059,587,1123,651,0.156831140849899
056,0.6229019825918322,1031,844,1054,867,0.41634910170405803
056,0.6188463774615587,1411,824,1438,851,0.38776183505206707
056,0.6138371948558381,512,770,546,804,0.26735562486954884
056,0.6205033201508364,1493,767,1526,800,0.9742456016105397
056,0.6138371948558381,602,755,676,829,0.14577362420101103
056,0.4039007896252653,62,878,127,943,0.5443026841235971
